Isolado	Concentracao	Time	Media_DO	sd_DO
be5.am1.g	0	0	0,00125	0,0005
be5.am1.g	0	20	0,00125	0,0005
be5.am1.g	0	40	0,00125	0,0015
be5.am1.g	0	60	0,00175	0,0015
be5.am1.g	0	80	0,00225	0,002061552813
be5.am1.g	0	100	0,0025	0,001732050808
be5.am1.g	0	120	0,00225	0,002061552813
be5.am1.g	0	140	0,00825	0,00997914492
be5.am1.g	0	160	0,00425	0,003304037934
be5.am1.g	0	180	0,006	0,00316227766
be5.am1.g	0	200	0,00775	0,00411298756
be5.am1.g	0	220	0,0105	0,004434711565
be5.am1.g	0	240	0,0135	0,005802298395
be5.am1.g	0	260	0,016	0,006683312552
be5.am1.g	0	280	0,02125	0,007719024118
be5.am1.g	0	300	0,02625	0,009604686356
be5.am1.g	0	320	0,035	0,01624807681
be5.am1.g	0	340	0,0415	0,0178605711
be5.am1.g	0	360	0,05725	0,01767059705
be5.am1.g	0	380	0,067	0,02152517905
be5.am1.g	0	400	0,077	0,02525866188
be5.am1.g	0	420	0,09225	0,03201431971
be5.am1.g	0	440	0,108	0,031591138
be5.am1.g	0	460	0,12775	0,03302902764
be5.am1.g	0	480	0,14875	0,04003644173
be5.am1.g	0	500	0,16725	0,03592005011
be5.am1.g	0	520	0,18825	0,0296690074
be5.am1.g	0	540	0,20775	0,02224672261
be5.am1.g	0	560	0,221	0,0164721988
be5.am1.g	0	580	0,23775	0,00953502316
be5.am1.g	0	600	0,25	0,005944184833
be5.am1.g	0	620	0,261	0,006271629241
be5.am1.g	0	640	0,272	0,008286535263
be5.am1.g	0	660	0,28225	0,01384136313
be5.am1.g	0	680	0,28775	0,01342572158
be5.am1.g	0	700	0,2925	0,01377195217
be5.am1.g	0	720	0,2945	0,01405939781
be5.am1.g	0	740	0,2955	0,01389244399
be5.am1.g	0	760	0,29575	0,01530522787
be5.am1.g	0	780	0,293	0,01262273082
be5.am1.g	0	800	0,292	0,01183215957
be5.am1.g	0	820	0,2915	0,01066145706
be5.am1.g	0	840	0,29225	0,01309898215
be5.am1.g	0	860	0,28975	0,01021028893
be5.am1.g	0	880	0,28775	0,01078192933
be5.am1.g	0	900	0,2875	0,009398581453
be5.am1.g	0	920	0,313	0,05875939641
be5.am1.g	0	940	0,28775	0,01284198842
be5.am1.g	0	960	0,28525	0,009742518497
be5.am1.g	0	980	0,28425	0,008460693431
be5.am1.g	0	1000	0,28475	0,009604686356
be5.am1.g	0	1020	0,283	0,008406346809
be5.am1.g	0	1040	0,28925	0,02059732992
be5.am1.g	0	1060	0,27825	0,005057996968
be5.am1.g	0	1080	0,28525	0,01934554212
be5.am1.g	0	1100	0,278	0,006055300708
be5.am1.g	0	1120	0,3085	0,07103285625
be5.am1.g	0	1140	0,33125	0,119251485
be5.am1.g	0	1160	0,3305	0,1183511724
be5.am1.g	0	1180	0,31875	0,101759111
be5.am1.g	0	1200	0,32225	0,1051994138
be5.am1.g	0	1220	0,31625	0,07339561749
be5.am1.g	0	1240	0,344	0,1515145758
be5.am1.g	0	1260	0,3085	0,08648892029
be5.am1.g	0	1280	0,302	0,07560864148
be5.am1.g	0	1300	0,28725	0,05032809023
be5.am1.g	0	1320	0,27625	0,03163726705
be5.am1.g	0	1340	0,2905	0,0561753208
be5.am1.g	0	1360	0,2855	0,05139714648
be5.am1.g	0	1380	0,29775	0,07459836906
be5.am1.g	0	1400	0,2855	0,05525999156
be5.am1.g	0	1420	0,2605	0,01508862706
be5.am1.g	0	1440	0,27575	0,0379769667
be5.am1.g	0,1	0	0,0025	0,002380476143
be5.am1.g	0,1	20	0,00125	0,0015
be5.am1.g	0,1	40	0,0015	0,001290994449
be5.am1.g	0,1	60	0,00175	0,0009574271078
be5.am1.g	0,1	80	0,0015	0,0005773502692
