Isolado	Conc	UFC1	UFC2	UFC3	diluicao	Replicata
D14.30.010-1	0	17	12	14	1,00E+04	1
D14.30.010-1	0,5	18	41	19	1,00E+04	1
D14.30.010-1	1	7	7	9	1,00E+02	1
D14.30.010-1	1,5	3	9	5	1,00E+02	1
D14.30.010-1	2	8	12	11	1,00E+02	1
D14.30.010-1	3	15	13	30	1,00E+02	1
D14.30.010-1	4	0	0	0	1,00E+00	1
D4.30.R2A-4	0	33	22	27	1,00E+06	1
D4.30.R2A-4	0,5	21	23	27	1,00E+06	1
D4.30.R2A-4	1	35	32	37	1,00E+04	1
D4.30.R2A-4	1,5	33	30	21	1,00E+04	1
D4.30.R2A-4	2	11	13	14	1,00E+04	1
D4.30.R2A-4	3	5	5	4	1,00E+00	1
D4.30.R2A-4	4	4	4	3	1,00E+00	1
D20.30.010-2	0	22	19	17	1,00E+04	1
D20.30.010-2	0,5	61	55	54	1,00E+04	1
D20.30.010-2	1	22	12	9	1,00E+02	1
D20.30.010-2	1,5	69	69	96	1,00E+01	1
D20.30.010-2	2	74	53	58	1,00E+01	1
D20.30.010-2	3	27	26	16	1,00E+02	1
D20.30.010-2	4	29	26	27	1,00E+02	1
D23.30.010-1	0	19	20	21	1,00E+05	1
D23.30.010-1	0,5	46	40	38	1,00E+05	1
D23.30.010-1	1	26	12	22	1,00E+05	1
D23.30.010-1	1,5	8	13	8	1,00E+03	1
D23.30.010-1	2	7	8	10	1,00E+03	1
D23.30.010-1	3	11	21	22	1,00E+02	1
D23.30.010-1	4	13	11	18	1,00E+02	1
D4.30.100-3	0	53	51	42	1,00E+06	1
D4.30.100-3	0,5	52	47	46	1,00E+06	1
D4.30.100-3	1	111	107	97	1,00E+05	1
D4.30.100-3	1,5	69	76	62	1,00E+04	1
D4.30.100-3	2	34	44	44	1,00E+04	1
D4.30.100-3	3	28	25	25	1,00E+03	1
D4.30.100-3	4	67	73	63	1,00E+00	1
D21.30.010-2	0	35	33	30	1,00E+05	1
D21.30.010-2	0,5	56	53	49	1,00E+05	1
D21.30.010-2	1	10	8	11	1,00E+03	1
