"isolado"	"conc"	"sob"	"erro"
"D14.30.010-1"	0	1	0,19565775644904
"D14.30.010-1"	0,5	1,5513	0,257163238645881
"D14.30.010-1"	1	0,4014	0,0278889375566244
"D14.30.010-1"	1,5	0,0037	0,000820323307234121
"D14.30.010-1"	2	0,005	0,00087118847395172
"D14.30.010-1"	3	0,0069	0,00158509052359546
"D14.30.010-1"	4	0,0013	0,000343907652526026
"D4.30.R2A-4"	0	1	0,119590738968305
"D4.30.R2A-4"	0,5	0,992	0,102220443573891
"D4.30.R2A-4"	1	0,0724	0,0125646401408128
"D4.30.R2A-4"	1,5	0,0082	0,000828135522518644
"D4.30.R2A-4"	2	0,0048	0,000540922083806196
"D4.30.R2A-4"	3	0	9,85056103378877e-06
"D4.30.R2A-4"	4	0	1,72092204734238e-06
"D20.30.010-2"	0	1	0,0535879071884138
"D20.30.010-2"	0,5	1,7123	0,0987357986411033
"D20.30.010-2"	1	0,2645	0,0582402734643609
"D20.30.010-2"	1,5	0,005	0,000703636493164869
"D20.30.010-2"	2	0,0016	0,000141261821219035
"D20.30.010-2"	3	0,0055	0,0007182642764639
"D20.30.010-2"	4	0,0052	0,000392565406299741
"D23.30.010-1"	0	1	0,0649884573625877
"D23.30.010-1"	0,5	2,0545	0,139153170372331
"D23.30.010-1"	1	0,687	0,0762178490575041
"D23.30.010-1"	1,5	0,0068	0,000674759257321983
"D23.30.010-1"	2	0,0028	0,000243244411611275
"D23.30.010-1"	3	0,0011	0,000121608681240822
"D23.30.010-1"	4	2e-04	3,64076504016858e-05
"D4.30.100-3"	0	1	0,0497648301528703
"D4.30.100-3"	0,5	0,9836	0,0557518870211358
"D4.30.100-3"	1	0,2856	0,013002247796345
"D4.30.100-3"	1,5	0,0103	0,000530443361199236
"D4.30.100-3"	2	0,0076	0,000640341069926884
"D4.30.100-3"	3	6e-04	3,99243196450167e-05
"D4.30.100-3"	4	0	4,61179120681304e-07
"D21.30.010-2"	0	1	0,0755783285940425
"D21.30.010-2"	0,5	0,9999	0,118018651620714
"D21.30.010-2"	1	0,0386	0,00480273537981466
"D21.30.010-2"	1,5	0	1,95094091546673e-06
"D21.30.010-2"	2	0	3,46596982729336e-08
"D21.30.010-2"	3	0	0
"D21.30.010-2"	4	0	0
"D23.30.010-3"	0	1	0,0788236741502217
"D23.30.010-3"	0,5	1,8321	0,293749794736648
"D23.30.010-3"	1	0,5337	0,0616280998010834
