Isolado	Dose	UFC1	UFC2	UFC3	diluicao	Replicata
D17b.30.010-4.2	0	13	10	9	1,00E+04	1
D17b.30.010-4.2	50	11	9	8	1,00E+04	1
D17b.30.010-4.2	100	40	42	43	1,00E+03	1
D17b.30.010-4.2	200	11	13	12	1,00E+03	1
D17b.30.010-4.2	300	7	6	6	1,00E+03	1
D17b.30.010-4.2	500	10	8	8	1,00E+02	1
D17b.30.010-4.2	700	6	5	2	1,00E+02	1
D17b.30.010-4.2	1000	0	1	0	1,00E+02	1
D17b.30.010-2	0	16	13	16	1,00E+04	1
D17b.30.010-2	50	19	11	12	1,00E+04	1
D17b.30.010-2	100	6	7	4	1,00E+04	1
D17b.30.010-2	200	21	16	17	1,00E+03	1
D17b.30.010-2	300	28	31	27	1,00E+02	1
D17b.30.010-2	500	22	14	23	1,00E+02	1
D17b.30.010-2	700	6	7	4	1,00E+03	1
D17b.30.010-2	1000	10	14	11	1,00E+02	1
D17b.30.010-4	0	17	8	14	1,00E+04	1
D17b.30.010-4	50	16	19	13	1,00E+04	1
D17b.30.010-4	100	11	8	16	1,00E+04	1
D17b.30.010-4	200	6	9	6	1,00E+04	1
D17b.30.010-4	300	3	7	4	1,00E+03	1
D17b.30.010-4	500	4	4	7	1,00E+02	1
D17b.30.010-4	700	6	4	3	1,00E+02	1
D17b.30.010-4	1000	32	33	33	1,00E+01	1
D5.30.010-5/2	0	10	10	12	1,00E+04	1
D5.30.010-5/2	50	11	13	8	1,00E+04	1
D5.30.010-5/2	100	10	5	7	1,00E+04	1
D5.30.010-5/2	200	5	4	3	1,00E+04	1
D5.30.010-5/2	300	5	4	9	1,00E+03	1
D5.30.010-5/2	500	13	20	17	1,00E+02	1
D5.30.010-5/2	700	13	13	17	1,00E+02	1
D5.30.010-5/2	1000	6	17	7	1,00E+02	1
D1c.30.010-2	0	16	17	16	1,00E+04	1
D1c.30.010-2	50	9	8	10	1,00E+04	1
D1c.30.010-2	100	47	33	32	1,00E+03	1
D1c.30.010-2	200	7	10	10	1,00E+03	1
D1c.30.010-2	300	46	23	36	1,00E+02	1
D1c.30.010-2	500	14	9	6	1,00E+02	1
D1c.30.010-2	700	10	9	10	1,00E+02	1
D1c.30.010-2	1000	33	40	17	1,00E+01	1
D17b.30.010-5	0	11	13	4	1,00E+04	1
D17b.30.010-5	50	8	11	8	1,00E+04	1
D17b.30.010-5	100	26	20	20	1,00E+03	1
D17b.30.010-5	200	12	7	4	1,00E+03	1
D17b.30.010-5	300	6	6	4	1,00E+03	1
D17b.30.010-5	500	23	25	17	1,00E+02	1
D17b.30.010-5	700	7	12	10	1,00E+02	1
