P	Conc.	Hours	CFU1	CFU1	CFU1	Dilution	Cor.Mean
P0	0M	00:00:00	7	5	9	1,00E+03	7,00E+03
P0	0,25M	00:00:00	19	22		1,00E+03	2,05E+04
P0	0,5M	00:00:00	7	7	7	1,00E+03	7,00E+03
P0	0,75M	00:00:00	25	32	29	1,00E+03	2,87E+04
P0	1M	00:00:00	6	6	13	1,00E+03	8,33E+03
P0	1,25M	00:00:00	13	6	14	1,00E+03	1,10E+04
P0	1,5M	00:00:00	8	5	8	1,00E+03	7,00E+03
P0	2M	00:00:00	5	11	8	1,00E+03	8,00E+03
P0	3M	00:00:00	57	49	54	1,00E+02	5,33E+03
P0	4M	00:00:00	7	8	5	1,00E+03	6,67E+03
P1	0M	01:07:00	87	87	87	1,00E+02	8,70E+03
P1	0,25M	00:56:00	29	21	31	1,00E+03	2,70E+04
P1	0,5M	01:07:00	6	10	16	1,00E+03	1,07E+04
P1	0,75M	00:56:00	30	23	21	1,00E+03	2,47E+04
P1	1M	01:07:00	11	14	15	1,00E+03	1,33E+04
P1	1,25M	01:07:00	64	62	67	1,00E+02	6,43E+03
P1	1,5M	01:07:00	9	9	6	1,00E+03	8,00E+03
P1	2M	01:07:00	11	7	4	1,00E+03	7,33E+03
P1	3M	01:07:00	7	5	7	1,00E+03	6,33E+03
P1	4M	01:07:00	17	13	19	1,00E+02	1,63E+03
P2	0M	02:00:00	13	27	19	1,00E+03	1,97E+04
P2	0,25M	02:08:00	50	44	42	1,00E+03	4,53E+04
P2	0,5M	02:00:00	19	19	20	1,00E+03	1,93E+04
P2	0,75M	02:08:00	25	29	16	1,00E+03	2,33E+04
P2	1M	02:00:00	13	12	8	1,00E+03	1,10E+04
P2	1,25M	02:00:00	5	7	9	1,00E+03	7,00E+03
P2	1,5M	02:00:00	56	58	65	1,00E+02	5,97E+03
P2	2M	02:00:00	8	7	4	1,00E+03	6,33E+03
P2	3M	02:00:00	24	31	25	1,00E+02	2,67E+03
P2	4M	02:00:00	10	9	5	1,00E+02	8,00E+02
P3	0M	03:00:00	11	9	12	1,00E+04	1,07E+05
P3	0,25M	03:03:00	10	12	9	1,00E+04	1,03E+05
P3	0,5M	03:00:00	2	6	6	1,00E+04	4,67E+04
P3	0,75M	03:03:00	36	18	31	1,00E+03	2,83E+04
P3	1M	03:00:00	6	11	11	1,00E+03	9,33E+03
P3	1,25M	03:00:00	63	75	66	1,00E+02	6,80E+03
P3	1,5M	03:00:00	7	7		1,00E+03	7,00E+03
P3	2M	03:00:00	6	6	7	1,00E+03	6,33E+03
P3	3M	03:00:00	23	18	16	1,00E+02	1,90E+03
P3	4M	03:00:00	11	7	5	1,00E+02	7,67E+02
P4	0M	04:00:00	9	9	16	1,00E+04	1,13E+05
