Ponto	Replicata	Tempo	UFC1	UFC2	UFC3	Fator
P0	1	0	92	79	73	1,00E+02
P1	1	1,5	74	80	78	1,00E+02
P2	1	3	16	11	18	1,00E+03
P3	1	4,5	36	31	27	1,00E+03
P4	1	6	18	21	20	1,00E+04
P5	1	7,5	13	10	10	1,00E+04
P6	1	9	39	30	35	1,00E+04
P7	1	10,5	67	52	50	1,00E+04
P8	1	12	66	60	59	1,00E+04
P9	1	13,5	75	83	77	1,00E+04
P10	1	15	85	77	77	1,00E+04
P11	1	16,5	75	63	66	1,00E+04
P12	1	18	80	84	84	1,00E+04
P13	1	19,5	14	14	15	1,00E+05
P14	1	21	15	12	9	1,00E+05
P15	1	22,5	19	13	18	1,00E+05
P16	1	24	16	18	21	1,00E+05
P17	1	25,5	12	28	16	1,00E+05
P18	1	27	16	12	14	1,00E+05
P19	1	28,5	18	12	19	1,00E+05
P20	1	30	16	20	13	1,00E+05
P0	2	0	95	93	96	1,00E+02
P1	2	1,5	10	20	15	1,00E+03
P2	2	3	20	10	26	1,00E+03
P3	2	4,5	52	58	59	1,00E+03
P4	2	6	42	53	38	1,00E+04
P5	2	7,5	24	32	22	1,00E+04
P6	2	9	56	63	61	1,00E+04
P7	2	10,5	65	74	73	1,00E+04
P8	2	12	68	66	68	1,00E+04
P9	2	13,5	81	69	80	1,00E+04
P10	2	15	97	87	74	1,00E+04
P11	2	16,5	69	82	82	1,00E+04
P12	2	18	11	10	9	1,00E+05
P13	2	19,5	85	93	85	1,00E+04
P14	2	21	9	16	19	1,00E+05
P15	2	22,5	24	21	16	1,00E+05
P16	2	24	20	12	15	1,00E+05
P17	2	25,5	18	14	18	1,00E+05
P18	2	27	11	16	23	1,00E+05
P19	2	28,5	17	17	17	1,00E+05
P20	2	30	22	15	13	1,00E+05
P0	3	0	14	13	10	1,00E+03
P1	3	1,5	12	10	11	1,00E+03
P2	3	3	15	18	20	1,00E+03
P3	3	4,5	36	39	33	1,00E+03
P4	3	6	29	27	23	1,00E+04
P5	3	7,5	14	10	14	1,00E+04
P6	3	9	35	52	64	1,00E+04
P7	3	10,5	65	74	73	1,00E+04
P8	3	12	75	82	84	1,00E+04
P9	3	13,5	81	72	75	1,00E+04
P10	3	15	86	76	82	1,00E+04
P11	3	16,5	65	69	71	1,00E+04
P12	3	18	89	90	106	1,00E+04
P13	3	19,5	85	86	84	1,00E+04
P14	3	21	95	108	102	1,00E+04
P15	3	22,5	16	15	23	1,00E+05
P16	3	24	15	14	11	1,00E+05
P17	3	25,5	15	9	8	1,00E+05
P18	3	27	16	16	26	1,00E+05
P19	3	28,5	31	18	25	1,00E+05
P20	3	30	14	17	15	1,00E+05
