Dose	Ferro	UFC1	UFC2	UFC3	Fator	Dose	Ferro	UFC1	UFC2	UFC3	Fator	Dose	Ferro	UFC1	UFC2	UFC3	Fator	Dose	Ferro	UFC1	UFC2	UFC3	Fator
0	0	27	20	27	1,00E+03	0	0	18	11	17	1,00E+03	0	0	25	18	18	1,00E+03	0	0	14	12	8	1,00E+03
50	0	17	20	26	1,00E+03	50	0	13	14	10	1,00E+03	50	0	24	17	23	1,00E+03	50	0	20	18	24	1,00E+03
100	0	23	19	23	1,00E+03	100	0	30	0	25	1,00E+03	100	0	10	22	14	1,00E+03	100	0	9	13	11	1,00E+03
200	0	55	60	48	1,00E+02	200	0	45	41	37	1,00E+02	200	0	4	8	6	1,00E+03	200	0	17	25	24	1,00E+02
300	0	14	14	14	1,00E+02	300	0	7	9	9	1,00E+02	300	0	2	2	0	1,00E+03	300	0	130	137	149	1,00E+00
500	0	20	18	18	1,00E+00	500	0	5	1	2	1,00E+00	500	0	2	0	0	1,00E+01	500	0	1	0	0	1,00E+01
700	0	0	0	0	1,00E+00	700	0	0	0	0	1,00E+00	700	0	0	0	0	1,00E+00	700	0	0	0	0	1,00E+00
1000	0	0	0	0	1,00E+00	1000	0	0	0	0	1,00E+00	1000	0	0	0	0	1,00E+00	1000	0	0	0	0	1,00E+00
1300	0	0	0	0	1,00E+00	1300	0	0	0	0	1,00E+00	1300	0	0	0	0	1,00E+00	1300	0	0	0	0	1,00E+00
1700	0	0	0	0	1,00E+00	1700	0	0	0	0	1,00E+00	1700	0	0	0	0	1,00E+00	1700	0	0	0	0	1,00E+00
2000	0	0	0	0	1,00E+00	2000	0	0	0	0	1,00E+00	2000	0	0	0	0	1,00E+00	2000	0	0	0	0	1,00E+00
0	5	18	8	16	1,00E+03	0	5	9	17	9	1,00E+03	0	5	23	20	13	1,00E+03	0	5	13	11	9	1,00E+03
268	5	88	63	72	1,00E+02	268	5	12	16	11	1,00E+03	265	5	19	26	16	1,00E+03	265	5	12	9	12	1,00E+03
533	5	8	11	9	1,00E+03	533	5	85	79	69	1,00E+02	532	5	9	14	17	1,00E+03	532	5	9	6	10	1,00E+03
1068	5	24	20	15	1,00E+02	1068	5	16	24	21	1,00E+02	1069	5	8	4	4	1,00E+03	1069	5	12	14	11	1,00E+02
2136	5	5	7	5	1,00E+02	2136	5	7	8	8	1,00E+01	2137	5	30	23	34	1,00E+00	2137	5	4	6	9	1,00E+00
3211	5	12	11	14	1,00E+00	3211	5	3	4	2	1,00E+00	3203	5	3	1	1	1,00E+00	3203	5	1	2	1	1,00E+00
4274	5	1	3	2	1,00E+00	4274	5	0	0	0	1,00E+00	4272	5	0	0	1	1,00E+00	4272	5	0	1	0	1,00E+00
0	10	22	16	17	1,00E+03	0	10	1	4	1	1,00E+04	0	10	2	2	1	10000	0	10	15	13	14	1,00E+03
531	10	1	2	3	1,00E+04	532	10	19	2	40	1,00E+03	532	10	11	16	6	1000	530	10	12	7	16	1,00E+03
1063	10	1	1	2	1,00E+04	1063	10	12	11	8	1,00E+03	1063	10	10	6	8	1000	1064	10	16	15	10	1,00E+03
2187	10	6	4	5	1,00E+03	2126	10	12	12	8	1,00E+03	2126	10	45	59	42	100	2127	10	58	63	74	1,00E+02
4263	10	21	15	21	1,00E+02	4258	10	40	57	50	1,00E+02	4258	10	56	58	65	10	4261	10	20	18	23	1,00E+02
6391	10	18	13	29	1,00E+01	6430	10	6	10	10	1,00E+02	6430	10	31	42	41	1	6386	10	2	1	3	1,00E+02
