"Species" "Domain" "Min.sup" "Max.sup" "Classif" "NaCl." "Unit" "Year" "Genus" "Family" "Order" "Class" "Phylum" "Kingdom"
"1" "Flavobacterium fluminis" "B" 0 0.513347022587269 "Tolerant" "s" "p" 2017 "Flavobacterium" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"2" "Thermobacillus composti" "B" 0 0.752908966461328 "Tolerant" "s" "p" 2007 "Thermobacillus" "Paenibacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"3" "Brevibacillus humidisoli" "B" 0 1.02669404517454 "Tolerant" "s" "p" 2023 "Brevibacillus" "Paenibacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"4" "Lysinibacillus parviboronicapiens" "B" 0 1.02669404517454 "Tolerant" "s" "p" 2009 "Lysinibacillus" "Caryophanaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"5" "Microbacterium sediminis" "B" 0 1.36892539356605 "Tolerant" "s" "p" 2013 "Microbacterium" "Microbacteriaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"6" "Oceanobacillus piezotolerans" "B" 0 1.54004106776181 "No Class" "s" "p" 2019 "Oceanobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"7" "Stakelama algicida" "B" 0 1.88227241615332 "Tolerant" "s" "p" 2018 "Stakelama" "Sphingomonadaceae" "Sphingomonadales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"8" "Gracilibacillus halotolerans" "B" 0 3.42231348391513 "Tolerant" "s" "p" 1999 "Gracilibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"9" "Thiorhodospira sibirica" "B" 0 1.02669404517454 "Tolerant" "s" "g" 1999 "Thiorhodospira" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"10" "Thiovirga sulfuroxydans" "B" 0 0.18 "Tolerant" "s" "m" 2005 "Thiovirga" "Halothiobacillaceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"11" "Methylobrevis pamukkalensis" "B" 0 1 "Tolerant" "s" "m" 2015 "Methylobrevis" "Pleomorphomonadaceae" "Hyphomicrobiales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"13" "Thermoflavifilum aggregans" "B" 0 0.855578370978782 "Slight" "s" "p" 2014 "Thermoflavifilum" "Chitinophagaceae" "Chitinophagales" "Chitinophagia" "Bacteroidota" "Pseudomonadati"
"15" "Methanobacterium ferruginis" "A" 0 1.2 "No Class" "s" "m" 2011 "Methanobacterium" "Methanobacteriaceae" "Methanobacteriales" "Methanobacteria" "Methanobacteriota" "Methanobacteriati"
"17" "Methanococcoides alaskense" "A" 0.1 0.8 "Slight" "s" "m" 2005 "Methanococcoides" "Methanosarcinaceae" "Methanosarcinales" "Methanosarcinia" "Methanobacteriota" "Methanobacteriati"
"20" "Subsaxibacter broadyi" "B" 0.1 1.25 "No Class" "s" "m" 2005 "Subsaxibacter" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"21" "Methanohalophilus levihalophilus" "A" 0.2 1.3 "Slight" "s" "m" 2014 "Methanohalophilus" "Methanosarcinaceae" "Methanosarcinales" "Methanosarcinia" "Methanobacteriota" "Methanobacteriati"
"23" "Dethiosulfovibrio faecalis" "B" 0 1.6 "Tolerant" "s" "m" 2022 "Dethiosulfovibrio" "Dethiosulfovibrionaceae" "Synergistales" "Synergistia" "Synergistota" "Thermotogati"
