Species	Domain	Min opt	Max opt	Min sup	Max sup	Classif	NaCl?	Unit	Reference	Year	Genus	Family	Order	Class	Phylum	Kingdom
Flavobacterium fluminis	B	0	0	0	3	Tolerant	s	p	Ahn et al 2017	2017	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	Pseudomonadati
Thermobacillus composti	B	0	0	0	4,4	Tolerant	s	p	Watanabe et al 2007	2007	Thermobacillus	Paenibacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Brevibacillus humidisoli	B	0	0	0	6	Tolerant	s	p	Lee et al 2023	2023	Brevibacillus	Paenibacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Lysinibacillus parviboronicapiens	B	0	0	0	6	Tolerant	s	p	Miwa et al 2009	2009	Lysinibacillus	Caryophanaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Microbacterium sediminis	B	0	0	0	8	Tolerant	s	p	Yu et al 2013	2013	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetes	Actinomycetota	Bacillati
Oceanobacillus piezotolerans	B	0	0	0	9	No Class	s	p	Yu et al 2019	2019	Oceanobacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Stakelama algicida	B	0	0	0	11	Tolerant	s	p	Kristyanto et al 2018	2018	Stakelama	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Gracilibacillus halotolerans	B	0	0	0	20	Tolerant	s	p	Waino et al 1999	1999	Gracilibacillus	Bacillaceae	Caryophanales	Bacilli	Bacillota	Bacillati
Thiorhodospira sibirica	B	0	0	0	60	Tolerant	s	g	Bryantseva et al 1999	1999	Thiorhodospira	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Thiovirga sulfuroxydans	B	0,03	0,03	0	0,18	Tolerant	s	m	Ito et al 2005	2005	Thiovirga	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati
Methylobrevis pamukkalensis	B	0,085	0,085	0	1	Tolerant	s	m	Poroshina et al 2015	2015	Methylobrevis	Pleomorphomonadaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati
Desulfobulbus alkaliphilus	B	0,2	0,2	0,1	1,5	Moderate	Na+	m	Sorokin et al 2012	2012	Desulfobulbus	Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Pseudomonadota	Pseudomonadati
Thermoflavifilum aggregans	B	0,1	0,25	0	5	Slight	s	p	Anders et al 2014	2014	Thermoflavifilum	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota	Pseudomonadati
Natronoglycomyces albus	B	0,1	0,3	0,1	3	Tolerant	Na+	m	Sorokin et al 2021	2021	Natronoglycomyces	Glycomycetaceae	Glycomycetales	Actinomycetes	Actinomycetota	Bacillati
Methanobacterium ferruginis	A	0,34	0,34	0	1,2	No Class	s	m	Mori and Haeayama 2011	2011	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Methanobacteriota	Methanobacteriati
Methanosarcina baltica	A	0,3	0,4	0,1	0,7	Slight	Na+	m	Singh et al. 2005	2006	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Methanococcoides alaskense	A	0,3	0,4	0,1	0,8	Slight	s	m	Singh et al. 2005	2005	Methanococcoides	Methanosarcinaceae	Methanosarcinales	Methanosarcinia	Methanobacteriota	Methanobacteriati
Methanoculleus marisnigri	A	0,1	0,4	0	1	Tolerant	Na+	m	Maestrojuán et al 1990	1990	Methanoculleus	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Methanobacteriota	Methanobacteriati
