"Espécie" "Domínio" "Mínimo.opt" "Máximo.opt" "Classificação" "Sal.é.NaCl." "Unidade"
"1" "Desulfosalsimonas propionicica" "B" 1.02669404517454 1.02669404517454 "Moderate" "s" "g"
"2" "Sporosalibacterium faouarense" "B" 0.684462696783025 0.684462696783025 "Moderate" "s" "g"
"3" "Glycocaulis abyssi" "B" 0.342231348391513 1.02669404517454 "Moderate" "s" "g"
"4" "Desulfovibrio senegalensis" "B" 0.513347022587269 0.513347022587269 "Moderate" "s" "g"
"5" "Sporosalibacterium tautonense" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "g"
"6" "Desulfovibrio gilichinskyi" "B" 0.342231348391513 0.342231348391513 "Moderate" "s" "g"
"7" "Balneola alkaliphila" "B" 0.513347022587269 0.513347022587269 "No Class" "s" "g"
"8" "Alkaliphilus namsaraevii" "B" 0.684462696783025 0.684462696783025 "No Class" "s" "g"
"9" "Desulfosoma caldarium" "B" 0.427789185489391 0.427789185489391 "Slight" "s" "g"
"10" "Crassaminicella profunda" "B" 0.513347022587269 0.513347022587269 "Slight" "s" "g"
"11" "Desulfovibrio tunisiensis" "B" 0.684462696783025 0.684462696783025 "Tolerant" "s" "g"
"12" "Methylonatrum kenyense" "B" 0.5 1 "Extreme" "s" "m"
"14" "Haloanaerobium lacusroseus" "B" 3.08 3.42 "Extreme" "s" "m"
"15" "Natrialba taiwanensis" "A" 3.5 3.5 "Extreme" "s" "m"
"16" "Haloferax alexandrinus" "A" 4.281 4.281 "Extreme" "s" "m"
"17" "Halobiforma haloterrestris" "A" 3.4 3.4 "Extreme" "s" "m"
"18" "Halobiforma nitratireducens" "A" 3.5 3.5 "Extreme" "s" "m"
"19" "Halorubrum tebenquichense" "A" 5.2 5.2 "Extreme" "s" "m"
"20" "Halorhodospira neutriphila" "B" 1.541 2.055 "Extreme" "s" "m"
"21" "Haloterrigena saccharevitans" "A" 3 3.4 "Extreme" "s" "m"
"22" "Halobiforma lacisalsi" "A" 2.6 4.3 "Extreme" "s" "m"
"23" "Halostagnicola larsenii" "A" 3.4 3.4 "Extreme" "s" "m"
"24" "Salicola marasensis" "B" 2.568 2.568 "Extreme" "s" "m"
"25" "Halorubrum aidingense" "A" 2.6 2.6 "Extreme" "s" "m"
"26" "Halorubrum lipolyticum" "A" 2.6 2.6 "Extreme" "s" "m"
"27" "Haloterrigena limicola" "A" 3.1 3.1 "Extreme" "s" "m"
"28" "Haloterrigena longa" "A" 3.1 3.1 "Extreme" "s" "m"
"29" "Halovivax asiaticus" "A" 3.4 3.4 "Extreme" "s" "m"
"30" "Natrinema ejinorense" "A" 3.4 3.4 "Extreme" "s" "m"
"31" "Natronorubrum aibiense" "A" 2.6 3.1 "Extreme" "s" "m"
"32" "Salicola salis" "B" 2.57 3.42 "Extreme" "s" "m"
"33" "Halorubrum ezzemmoulense " "A" 3.42 3.42 "Extreme" "s" "m"
"34" "Halovibrio denitrificans" "B" 2 2.5 "Extreme" "s" "m"
"35" "Halospina denitrificans" "B" 2.5 3 "Extreme" "s" "m"
