"Espécie" "Domínio" "Mínimo.sup" "Máximo.sup" "Classificação" "Sal.é.NaCl." "Unidade"
"2" "Sporosalibacterium faouarense" "B" 0 2.56673511293635 "Moderate" "s" "g"
"3" "Glycocaulis abyssi" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "g"
"4" "Desulfovibrio senegalensis" "B" 0.0855578370978782 1.11225188227242 "Moderate" "s" "g"
"5" "Sporosalibacterium tautonense" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "g"
"6" "Desulfovibrio gilichinskyi" "B" 0.0855578370978782 0.684462696783025 "Moderate" "s" "g"
"7" "Balneola alkaliphila" "B" 0.171115674195756 1.36892539356605 "No Class" "s" "g"
"8" "Alkaliphilus namsaraevii" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "g"
"9" "Desulfosoma caldarium" "B" 0.0855578370978782 0.513347022587269 "Slight" "s" "g"
"10" "Crassaminicella profunda" "B" 0.0855578370978782 1.02669404517454 "Slight" "s" "g"
"11" "Desulfovibrio tunisiensis" "B" 0 1.19780971937029 "Tolerant" "s" "g"
"12" "Methylonatrum kenyense" "B" 0.3 4 "Extreme" "s" "m"
"13" "Halovibrio variabilis" "B" 1.2 4.9 "Extreme" "s" "m"
"14" "Haloanaerobium lacusroseus" "B" 1.28 5.82 "Extreme" "s" "m"
"15" "Natrialba taiwanensis" "A" 2 6.16 "Extreme" "s" "m"
"16" "Haloferax alexandrinus" "A" 1.712 6.147 "Extreme" "s" "m"
"17" "Halobiforma haloterrestris" "A" 2.2 6.5 "Extreme" "s" "m"
"18" "Halobiforma nitratireducens" "A" 2.5 6 "Extreme" "s" "m"
"19" "Halorubrum tebenquichense" "A" 2.5 5.2 "Extreme" "s" "m"
"20" "Halorhodospira neutriphila" "B" 1.027 5.137 "Extreme" "s" "m"
"21" "Haloterrigena saccharevitans" "A" 1.71 5.1 "Extreme" "s" "m"
"23" "Halostagnicola larsenii" "A" 2.5 5.137 "Extreme" "s" "m"
"24" "Salicola marasensis" "B" 1.712 4.281 "Extreme" "s" "m"
"25" "Halorubrum aidingense" "A" 1.7 4.3 "Extreme" "s" "m"
"26" "Halorubrum lipolyticum" "A" 1.7 4.8 "Extreme" "s" "m"
"27" "Haloterrigena limicola" "A" 1.7 5.1 "Extreme" "s" "m"
"28" "Haloterrigena longa" "A" 1.7 5.1 "Extreme" "s" "m"
"29" "Halovivax asiaticus" "A" 2.5 4.3 "Extreme" "s" "m"
"30" "Natrinema ejinorense" "A" 1.8 5.2 "Extreme" "s" "m"
"31" "Natronorubrum aibiense" "A" 2 4.3 "Extreme" "s" "m"
"32" "Salicola salis" "B" 1.71 4.28 "Extreme" "s" "m"
"33" "Halorubrum ezzemmoulense " "A" 2.57 4.28 "Extreme" "s" "m"
"34" "Halovibrio denitrificans" "B" 2 5 "Extreme" "s" "m"
"35" "Halospina denitrificans" "B" 2 5 "Extreme" "s" "m"
"36" "Haloferax larsenii" "A" 1 4.8 "Extreme" "s" "m"
"37" "Haloferax prahovense" "A" 2.5 5.2 "Extreme" "s" "m"
"38" "Halopiger xanaduensis" "A" 2.5 5 "Extreme" "s" "m"
"39" "Haloplanus natans" "A" 2.6 4.3 "Extreme" "s" "m"
"40" "Haloquadratum walsbyi" "A" 2.38 6.12 "Extreme" "s" "m"
"41" "Haloterrigena hispanica" "A" 2.2 4 "Extreme" "s" "m"
"42" "Halovivax ruber" "A" 2.5 5.2 "Extreme" "s" "m"
"43" "Haloarcula amylolytica" "A" 2 5.1 "Extreme" "s" "m"
"44" "Halogeometricum pallida" "A" 1.3 4.3 "Extreme" "s" "m"
"45" "Halorhabdus tiamatea" "A" 1.71 5.1 "Extreme" "s" "m"
"46" "Halorubrum californiense" "A" 2.5 5 "Extreme" "s" "m"
"47" "Halorubrum kocurii" "A" 2.5 5 "Extreme" "s" "m"
"48" "Haloterrigena salina" "A" 2.5 5 "Extreme" "s" "m"
"49" "Halomicrobium katesii" "A" 3.4 5.2 "Extreme" "s" "m"
