Espécie	Domínio	Mínimo opt	Máximo opt	Mínimo sup	Máximo sup	Classificação	Sal é NaCl?	Unidade	Checado?	Referência	journal	Ano
Desulfosalsimonas propionicica	B	60	60		200	Moderate	s	g		JKjeldsen et al 2010	Micro Society	2010
Sporosalibacterium faouarense	B	40	40	0	150	Moderate	s	g		Rezgui et al 2011	Micro Society	2011
Glycocaulis abyssi	B	20	60	5	100	Moderate	s	g	Abyss	Abraham et al 2013	Micro Society	2013
Desulfovibrio senegalensis	B	30	30	5	65	Moderate	s	g		Thioye et al 2017	Micro Society	2017
Sporosalibacterium tautonense	B	20	20	5	100	Moderate	s	g	Thermo	Podosokorskaya et al 2017	Micro Society	2017
Desulfovibrio gilichinskyi	B	20	20	5	40	Moderate	s	g	Psychro	Ryzhmanova et al 2019	Micro Society	2019
Balneola alkaliphila	B	30	30	10	80	No Class	s	g	Alcalino	Urios et al 2008	Micro Society	2008
Alkaliphilus namsaraevii	B	40	40	5	150	No Class	s	g	Alkali	Zakharyuk et al 2017	Micro Society	2017
Desulfosoma caldarium	B	25	25	5	30	Slight	s	g	Thermo	Baena et al 2011	Micro Society	2011
Crassaminicella profunda	B	30	30	5	60	Slight	s	g		Lakhal et al 2015	Micro Society	2015
Desulfovibrio tunisiensis	B	40	40	0	70	Tolerant	s	g		Gam et al 2009	Micro Society	2009
Methylonatrum kenyense	B	0,5	1	0,3	4	Extreme	s	m	Alkali	Sorokin et al 2007	Micro Society	2007
Halovibrio variabilis	B			1,2	4,9	Extreme	s	m		Fendrich 1989 / Sorokin et al. 2006	Micro Society	1989
Haloanaerobium lacusroseus	B	3,08	3,42	1,28	5,82	Extreme	s	m	Anaerobiose	Cayol et al. 1995	Micro Society	1995
Natrialba taiwanensis	A	3,5	3,5	2	6,16	Extreme	s	m		Hezayen et al. 2001	Micro Society	2001
Salinibacter ruber	B	3,425	5,137	3,425	5,137	Extreme	s	m		Antón et al. 2002 / Sher et al. 2004		2002
Haloferax alexandrinus	A	4,281	4,281	1,712	6,147	Extreme	s	m		Asker e Ohta 2002	Micro Society	2002
Halobiforma haloterrestris	A	3,4	3,4	2,2	6,5	Extreme	s	m		Bowers e Wiegel 2011/Hezayen et al. 2002	Micro Society	2002
Halobiforma nitratireducens	A	3,5	3,5	2,5	6	Extreme	s	m		Bowers e Wiegel 2011/Hezayen et al 2002	Micro Society	2002
Halorubrum tebenquichense	A	5,2	5,2	2,5	5,2	Extreme	s	m		Lizama et al. 2002	Micro Society	2002
Halorhodospira neutriphila	B	1,541	2,055	1,027	5,137	Extreme	s	m		Hirschler-Réa et al. 2003	Micro Society	2003
Haloferax sulfurifontis	A	2,1	2,6	1	5,5	Extreme	s	m		Bowers e Wiegel 2011/Elshahed et al. 2004	 Micro Society	2004
Haloterrigena saccharevitans	A	3	3,4	1,71	5,1	Extreme	s	m		Bowers e Wiegel 2011 / Xu et al 2005	Micro Society	2005
Halobiforma lacisalsi	A	2,6	4,3	1,7		Extreme	s	m		Xu et al. 2005	Micro Society	2005
Halostagnicola larsenii	A	3,4	3,4	2,5	5,137	Extreme	s	m		Quadri et al. 2016 / Bowers e Wiegel 2011 / Castillo et al. 2006	Micro Society	2006
Salicola marasensis	B	2,568	2,568	1,712	4,281	Extreme	s	m		Lourdes et al. 2010 / Maturramo et al. 2006	Micro Society	2006
Halorubrum aidingense	A	2,6	2,6	1,7	4,3	Extreme	s	m		Bowers e Wiegel 2011 / Cui et al. 2006	Micro Society	2006
Halorubrum lipolyticum	A	2,6	2,6	1,7	4,8	Extreme	s	m		Bowers e Wiegel 2011 / Cui et al. 2006	Micro Society	2006
Haloterrigena limicola	A	3,1	3,1	1,7	5,1	Extreme	s	m		Bowers e Wiegel 2011 / Cui et al. 2006	Micro Society	2006
Haloterrigena longa	A	3,1	3,1	1,7	5,1	Extreme	s	m		Bowers e Wiegel 2011 / Cui et al. 2006	Micro Society	2006
Halovivax asiaticus	A	3,4	3,4	2,5	4,3	Extreme	s	m		Bowers e Wiegel 2011 / Castillo et al. 2006	Micro Society	2006
Natrinema ejinorense	A	3,4	3,4	1,8	5,2	Extreme	s	m		Bowers e Wiegel 2011 / Castillo et al. 2006	Micro Society	2006
Natronorubrum aibiense	A	2,6	3,1	2	4,3	Extreme	s	m		Bowers e Wiegel 2011 / Cui et al. 2006	Micro Society	2006
