Extração	Dia	Chl	Chl std	DO	DO std
A	6	0,617354400	0,010988560	0,186	0,02303
A	12	2,364108940	0,046448540	0,712	0,03775
A	18	5,987817680	0,102180250	1,406	0,10785
A	24	7,105087470	0,134278950	1,696	0,09153
A	30	7,666562500	0,242470790	1,953	0,07115
B	6	0,631946000	0,010373120	0,186	0,02303
B	12	2,197749820	0,062990750	0,712	0,03775
B	18	5,949693890	0,146901090	1,406	0,10785
B	24	7,237168530	0,126798140	1,696	0,09153
B	30	7,903702980	0,228719630	1,953	0,07115
C	6	0,580637730	0,011615890	0,186	0,02303
C	12	2,399416000	0,056590000	0,712	0,03775
C	18	6,142695580	0,157314780	1,406	0,10785
C	24	7,065326400	0,192729530	1,696	0,09153
C	30	7,816077650	0,265972790	1,953	0,07115
