Experimento	Dia	Tempo	Autof avg	Autof std
1	0	0	2428	241,3927952
1	14	0	131	23,5378604
1	14	40	2212	288,7996344
1	14	180	2335	286,1421671
2	0	0	2546	170,9092477
2	14	0	119	24,9034292
2	14	40	2242	265,7996344
2	14	180	2453	241,4410726
3	0	0	2530	210,6501119
3	14	0	106	26,5378604
3	14	40	2099	205,7996344
3	14	180	2298	236,1421671
4	0	0	2548	271,2491873
4	28	0	114	18,2833302
4	28	40	1827	229,1913399
4	28	180	1968	245,976303
5	0	0	2505	220,1879435
5	28	0	209	35,6676128
5	28	40	1855	253,5608805
5	28	180	2031	239,3181486
6	0	0	2449	187,2197546
6	28	0	101	20,1820516
6	28	40	1780	234,9215508
6	28	180	1884	268,1459456
