Experimento	Erlen	Dia	Avg DO	DO Std
Controle	A	0	0,0999	0,0030713732
Controle	A	3	0,1089	0,0059338951
Controle	A	6	0,201	0,01340812357
Controle	A	9	0,4225	0,01891060843
Controle	A	12	0,7364	0,0289374805
Controle	A	15	1,0337	0,07958231238
Controle	A	18	1,5233	0,07911742328
Controle	A	21	1,7514	0,03877341586
Controle	A	24	1,809	0,05180733539
Controle	A	27	1,8229	0,04926673433
Controle	A	30	1,8449	0,04362580786
Controle	B	0	0,1021	0,004954235
Controle	B	3	0,1096	0,00368781778
Controle	B	6	0,1879	0,01300811712
Controle	B	9	0,4299	0,02683467906
Controle	B	12	0,7012	0,05797470713
Controle	B	15	0,997	0,06759026886
Controle	B	18	1,472	0,06867799259
Controle	B	21	1,6846	0,06400902714
Controle	B	24	1,7961	0,04522155337
Controle	B	27	1,8413	0,04316647362
Controle	B	30	1,9241	0,05525385859
Controle	C	0	0,1037	0,00487738546
Controle	C	3	0,1073	0,00419126075
Controle	C	6	0,1854	0,01382590162
Controle	C	9	0,4884	0,0329619309
Controle	C	12	0,7717	0,03487772291
Controle	C	15	1,10521	0,07804028091
Controle	C	18	1,6036	0,06994315152
Controle	C	21	1,7733	0,05933904467
Controle	C	24	1,8657	0,03572440809
Controle	C	27	1,932	0,05907246021
Controle	C	30	1,9838	0,04868675385
14 dias	A	0	0,0843	0,01316603374
14 dias	A	3	0,1022	0,00399444058
14 dias	A	6	0,1705	0,01143338192
14 dias	A	9	0,3691	0,01742571535
14 dias	A	12	0,6275	0,03432281392
14 dias	A	15	0,9061	0,1224621937
14 dias	A	18	1,358	0,07076722405
14 dias	A	21	1,5613	0,03634724504
14 dias	A	24	1,5884	0,06762346733
14 dias	A	27	1,6164	0,05005596868
14 dias	A	30	1,6487	0,07073432296
14 dias	A	33	1,7478	0,09871035069
14 dias	A	36	1,7712	0,04700780077
14 dias	B	0	0,0869	0,0036651512
14 dias	B	3	0,0961	0,00458136321
14 dias	B	6	0,175	0,01348249894
14 dias	B	9	0,3215	0,03375812659
14 dias	B	12	0,5296	0,03903901183
14 dias	B	15	0,8114	0,0764696018
14 dias	B	18	1,1728	0,06613756707
14 dias	B	21	1,4178	0,06394059743
14 dias	B	24	1,5632	0,06854163374
14 dias	B	27	1,7223	0,07037210622
