Experimento	Dia	Avg DO	DO Std
BG-11	0	0,108	0,006247
BG-11	3	0,117	0,006614
BG-11	6	0,206	0,012838
BG-11	9	0,428	0,016999
BG-11	12	0,696	0,03647
BG-11	15	1,07	0,059083
BG-11	18	1,445	0,053533
BG-11	21	1,847	0,068988
BG-11	24	1,952	0,048896
BG-11	27	1,973	0,081964
BG-11	30	1,975	0,075553
0,05%	0	0,104	0,00605
0,05%	3	0,11	0,005186
0,05%	6	0,186	0,011499
0,05%	9	0,383	0,023717
0,05%	12	0,667	0,031954
0,05%	15	0,989	0,047192
0,05%	18	1,305	0,032928
0,05%	21	1,796	0,059839
0,05%	24	1,904	0,086709
0,05%	27	1,922	0,037398
0,05%	30	1,951	0,050472
0,20%	0	0,105	0,005622
0,20%	3	0,108	0,006277
0,20%	6	0,146	0,00918
0,20%	9	0,308	0,009824
0,20%	12	0,57	0,018528
0,20%	15	0,856	0,05585
0,20%	18	1,249	0,079414
0,20%	21	1,653	0,081014
0,20%	24	1,796	0,090022
0,20%	27	1,84	0,098428
0,20%	30	1,828	0,078942
0,50%	0	0,101	0,005171
0,50%	3	0,105	0,002309
0,50%	6	0,114	0,009173
0,50%	9	0,147	0,006183
0,50%	12	0,332	0,008352
0,50%	15	0,712	0,02453
0,50%	18	0,854	0,026168
0,50%	21	0,995	0,029746
0,50%	24	1,286	0,041138
0,50%	27	1,302	0,045109
0,50%	30	1,335	0,035136
1%	0	0,101	0,00216
1%	3	0,116	0,005171
1%	6	0,131	0,005492
1%	9	0,168	0,00725
1%	12	0,237	0,01074
1%	15	0,269	0,0128
1%	18	0,301	0,012712
1%	21	0,351	0,015188
1%	24	0,435	0,019691
1%	27	0,499	0,012181
1%	30	0,467	0,0148
5%	0	0,101	0,006145
5%	3	0,101	0,005913
5%	6	0,104	0,009209
5%	9	0,116	0,009995
5%	12	0,129	0,009222
5%	15	0,137	0,009698
5%	18	0,145	0,014461
5%	21	0,158	0,012385
5%	24	0,154	0,015581
5%	27	0,158	0,008894
5%	30	0,145	0,016434
